model,experiment,ph,patient,metric,calculation,0
ar,DEC_8_2023,30,ohio_570,P_EGA_A,std,0.0014515124856511
ar,DEC_8_2023,30,ohio_570,P_EGA_A+B,mean,0.9972212065813528
ar,DEC_8_2023,30,ohio_570,P_EGA_A+B,std,0.0001791217362181
ar,DEC_8_2023,30,ohio_570,P_EGA_B,mean,0.0291042047531992
ar,DEC_8_2023,30,ohio_570,P_EGA_B,std,0.0013203268800927
ar,DEC_8_2023,30,ohio_570,P_EGA_C,mean,0.0
ar,DEC_8_2023,30,ohio_570,P_EGA_C,std,0.0
ar,DEC_8_2023,30,ohio_570,P_EGA_D,mean,0.0027787934186471
ar,DEC_8_2023,30,ohio_570,P_EGA_D,std,0.0001791217362181
ar,DEC_8_2023,30,ohio_570,P_EGA_E,mean,0.0
ar,DEC_8_2023,30,ohio_570,P_EGA_E,std,0.0
ar,DEC_8_2023,30,ohio_570,RMSE,mean,18.020854052366225
ar,DEC_8_2023,30,ohio_570,RMSE,std,0.171588568823477
ar,DEC_8_2023,30,ohio_570,R_EGA_A,mean,0.6788299817184644
ar,DEC_8_2023,30,ohio_570,R_EGA_A,std,0.0141694992613323
ar,DEC_8_2023,30,ohio_570,R_EGA_A+B,mean,0.8805850091407678
ar,DEC_8_2023,30,ohio_570,R_EGA_A+B,std,0.0088979823002016
ar,DEC_8_2023,30,ohio_570,R_EGA_B,mean,0.2017550274223035
ar,DEC_8_2023,30,ohio_570,R_EGA_B,std,0.0053156217463652
ar,DEC_8_2023,30,ohio_570,R_EGA_lC,mean,0.0335648994515539
ar,DEC_8_2023,30,ohio_570,R_EGA_lC,std,0.0042852169137794
ar,DEC_8_2023,30,ohio_570,R_EGA_lD,mean,0.0143327239488117
ar,DEC_8_2023,30,ohio_570,R_EGA_lD,std,0.0005850091407678
ar,DEC_8_2023,30,ohio_570,R_EGA_lE,mean,0.0104570383912248
ar,DEC_8_2023,30,ohio_570,R_EGA_lE,std,0.0006781439484823
ar,DEC_8_2023,30,ohio_570,R_EGA_uC,mean,0.0429981718464351
ar,DEC_8_2023,30,ohio_570,R_EGA_uC,std,0.0038736153968991
ar,DEC_8_2023,30,ohio_570,R_EGA_uD,mean,0.0100182815356489
ar,DEC_8_2023,30,ohio_570,R_EGA_uD,std,0.0004959656294789
ar,DEC_8_2023,30,ohio_570,R_EGA_uE,mean,0.0080438756855575
ar,DEC_8_2023,30,ohio_570,R_EGA_uE,std,0.0009249806684221
ar,DEC_8_2023,30,ohio_570,TG,mean,1.0
ar,DEC_8_2023,30,ohio_570,TG,std,2.0
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP,mean,0.8430399379604498
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP,std,0.0013068863548935
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_eu,mean,0.88933577087142
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_eu,std,0.0018322116244208
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_hyper,mean,0.8150187734668336
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_hyper,std,0.0021532729078955
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_hypo,mean,0.4575539568345323
ar,DEC_8_2023,30,ohio_575,CG_EGA_AP_hypo,std,0.0365705468406872
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE,mean,0.0874757658006979
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE,std,0.0008704902799784
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_eu,mean,0.0789762340036563
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_eu,std,0.0011302399141371
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_hyper,mean,0.1088861076345431
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_hyper,std,0.0020942679012117
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_hypo,mean,0.0647482014388489
ar,DEC_8_2023,30,ohio_575,CG_EGA_BE_hypo,std,0.0045500397988034
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP,mean,0.0694842962388522
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP,std,0.0015393123878463
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_eu,mean,0.0316879951249238
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_eu,std,0.0012187690432663
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_hyper,mean,0.0760951188986232
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_hyper,std,0.0014595624267447
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_hypo,mean,0.4776978417266186
ar,DEC_8_2023,30,ohio_575,CG_EGA_EP_hypo,std,0.040081692883983
ar,DEC_8_2023,30,ohio_575,MAPE,mean,12.239385867004165
ar,DEC_8_2023,30,ohio_575,MAPE,std,0.1760376335344344
ar,DEC_8_2023,30,ohio_575,MASE,mean,0.9611859099753928
ar,DEC_8_2023,30,ohio_575,MASE,std,0.0080937271353909
ar,DEC_8_2023,30,ohio_575,P_EGA_A,mean,0.8892594028693293
ar,DEC_8_2023,30,ohio_575,P_EGA_A,std,0.0045258585378564
ar,DEC_8_2023,30,ohio_575,P_EGA_A+B,mean,0.973090345094998
ar,DEC_8_2023,30,ohio_575,P_EGA_A+B,std,0.0020895220760461
ar,DEC_8_2023,30,ohio_575,P_EGA_B,mean,0.0838309422256688
ar,DEC_8_2023,30,ohio_575,P_EGA_B,std,0.0025414454607481
ar,DEC_8_2023,30,ohio_575,P_EGA_C,mean,0.0
ar,DEC_8_2023,30,ohio_575,P_EGA_C,std,0.0
ar,DEC_8_2023,30,ohio_575,P_EGA_D,mean,0.0269096549050019
ar,DEC_8_2023,30,ohio_575,P_EGA_D,std,0.0020895220760461
ar,DEC_8_2023,30,ohio_575,P_EGA_E,mean,0.0
ar,DEC_8_2023,30,ohio_575,P_EGA_E,std,0.0
ar,DEC_8_2023,30,ohio_575,RMSE,mean,24.90685731473313
ar,DEC_8_2023,30,ohio_575,RMSE,std,0.0758308880968182
ar,DEC_8_2023,30,ohio_575,R_EGA_A,mean,0.6892594028693292
ar,DEC_8_2023,30,ohio_575,R_EGA_A,std,0.005353720230816
ar,DEC_8_2023,30,ohio_575,R_EGA_A+B,mean,0.867157813105855
ar,DEC_8_2023,30,ohio_575,R_EGA_A+B,std,0.0017096089713104
ar,DEC_8_2023,30,ohio_575,R_EGA_B,mean,0.1778984102365258
ar,DEC_8_2023,30,ohio_575,R_EGA_B,std,0.0043413834826765
ar,DEC_8_2023,30,ohio_575,R_EGA_lC,mean,0.0264443582784024
ar,DEC_8_2023,30,ohio_575,R_EGA_lC,std,0.0006671054879443
ar,DEC_8_2023,30,ohio_575,R_EGA_lD,mean,0.0165180302442807
ar,DEC_8_2023,30,ohio_575,R_EGA_lD,std,0.0003954260964399
ar,DEC_8_2023,30,ohio_575,R_EGA_lE,mean,0.0221015897634742
ar,DEC_8_2023,30,ohio_575,R_EGA_lE,std,0.0005483573332195
ar,DEC_8_2023,30,ohio_575,R_EGA_uC,mean,0.0302442807289647
ar,DEC_8_2023,30,ohio_575,R_EGA_uC,std,0.000884199631717
